Title,Salary,Location,Employment Type
Content manager,Softsich,Дистанційно,Повна зайнятість
Менеджер з підтримки продажів ІТ-продуктів,Amind,Київ,Повна зайнятість
Менеджер чата,10 000 – 30 000 грн,Дистанційно,Неповна зайнятість
Менеджер по роботі з клієнтами (зі знанням турецької мови),25 000 – 28 000 грн,Дистанційно,Повна зайнятість
Інтернет-маркетолог,35 000 – 45 000 грн,Дистанційно,Повна зайнятість
"SEO Specialist, Generalist",35 000 – 60 000 грн,Дистанційно,Повна зайнятість
Junior Game Operations Manager,EvoPlay,Київ,Повна зайнятість
Бухгалтер (виробництво),ПК-Сервіс,Дніпро,Повна зайнятість
"Junior Developer, QA Automation Test Engineer",16 000 – 20 000 грн,Дистанційно,Повна зайнятість
"Game Designer (Junior, Mid)",RetroStyle Games,Київ,Повна зайнятість
Strong Junior Back-end Developer (.Net),SmartTender,Дистанційно,Повна зайнятість
Викладач англійської (підготовка до НМТ),GoITeens,Дистанційно,Неповна зайнятість
HR-менеджер,25 000 – 35 000 грн,Дистанційно,Повна зайнятість
"Trainee UX/UI Designer, волонтер","Є Підтримка, АФК, ГО",Дистанційно,"Повна зайнятість, неповна зайнятість"
"Project Manager, адміністратор IT-проєктів",Sales-Up,Київ,Повна зайнятість
Web-аналітик,Innovation Group,Дистанційно,Повна зайнятість
Категорійний менеджер,Mono,Київ,Повна зайнятість
Копірайтер (Kyivstar Business Hub),Kyivstar.Tech,Дистанційно,Повна зайнятість
Менеджер з продажу,20 000 – 35 000 грн,Дистанційно,Повна зайнятість
Системний адміністратор,Plex,Чернігів,Повна зайнятість
Аналітик CRM-систем,Sales-Up,Дистанційно,Повна зайнятість
Інженер ВТК,Infozahyst,Київ,Повна зайнятість
Unity developer,20 000 – 52 000 грн,Дистанційно,Повна зайнятість
Sales Manager (IT),Lizard Soft,Дистанційно,Повна зайнятість
Системний адміністратор,50 000 – 70 000 грн,Дистанційно,Повна зайнятість
Junior SOC Analyst (Tier 1),"Genesis, ІТ-компанія",Київ,Повна зайнятість
Product Marketing Specialist,Renesas Electronics,Львів,Повна зайнятість
PHP Developer,20 000 – 40 000 грн,Дистанційно,Повна зайнятість
Middle Graphic Designer,Innovation Group,Дистанційно,Повна зайнятість
Оператор call-центра,10 500 – 15 800 грн,Дистанційно,"Повна зайнятість, неповна зайнятість"
Senior PixiJS developer,Innovation Group,Дистанційно,Повна зайнятість
"Монтажник систем відеонагляду (СКС, СКУД)","МВКОМ, ТОВ",Рівне,Повна зайнятість
Account manager,17 000 – 21 000 грн,Львів,Повна зайнятість
Менеджер з закупівель,"МВКОМ, ТОВ",Рівне,Повна зайнятість
Маркетинговий аналітик,"БусСистем, ТзОВ",Дистанційно,Повна зайнятість
Customer Support Agent,7 000 – 10 000 грн,Дистанційно,Неповна зайнятість
Помічник головного бухгалтера,"МВКОМ, ТОВ",Рівне,Повна зайнятість
International Corporate Lawyer,EvoPlay,Київ,Повна зайнятість
Промоутер,10 000 – 20 000 грн,Ужгород,Неповна зайнятість
Провідний юрист,Лоджікс 7 Україна,Київ,Повна зайнятість
Програміст MS Dynamics CRM,IT-Solutions,Київ,Повна зайнятість
Marketing Manager (B2B),AcademyOcean,Дистанційно,Повна зайнятість
Hardware developer (automation team),Ajax Systems,Київ,Повна зайнятість
Middle Manual QA Engineer,Ajax Systems,Київ,Повна зайнятість
Junior Power BI Analyst,Кварт-Софт,Київ,Повна зайнятість
Finance Manager,Frozeneon,Дистанційно,Повна зайнятість
Crypto SMM Manager,80 000 – 120 000 грн,Дистанційно,Повна зайнятість
Контент-менеджер,15 000 – 30 000 грн,Тернопіль,Повна зайнятість
Менеджер з продажів (Satu.kz),17 000 – 50 000 грн,Чернігів,Повна зайнятість
Заступник керівника контакт-центру,33 000 грн,Дистанційно,Повна зайнятість
Керівник аутсорсингу обліку для ресторанів,Смарт Кафе,Дистанційно,Повна зайнятість
Brand Manager,Megogo,Київ,Повна зайнятість
Instructional Content Designer,20 000 – 30 000 грн,Дистанційно,Повна зайнятість
Finance Controller (USA),DiJust,Київ,Повна зайнятість
Оператор токарного ЧПК-верстата,35 000 – 46 700 грн,Київ,Повна зайнятість
Менеджер з постачання (ЗЕД),Netronic,Дистанційно,Повна зайнятість
"Оператор баз даних, кол-центру",15 000 – 17 000 грн,Дистанційно,"Повна зайнятість, неповна зайнятість"
Регіональний менеджер (231),Helsi,Київ,Повна зайнятість
Системний адміністратор,26 396 грн,Київ,Повна зайнятість
Content writer,40 000 – 61 000 грн,Дистанційно,Повна зайнятість
Event Marketing Manager (Ringostat),Ringostat,Дистанційно,Повна зайнятість
Sales Team Lead (B2C),Qwerty.Software,Дистанційно,Повна зайнятість
"Junior Developer, QA Automation Test Engineer",16 000 – 20 000 грн,Черкаси,Повна зайнятість
Lead Graphic Designer,DiJust,Київ,Повна зайнятість
Аудіовізуальний інженер,Dekom Ukraine,Дистанційно,Повна зайнятість
"Менеджер з продажу, KAM (B2B)",40 000 – 100 000 грн,Київ,Повна зайнятість
Аналітик баз даних,30 000 грн,Київ,Повна зайнятість
Customer success manager,30 000 – 50 000 грн,Київ,Повна зайнятість
Водій на авто компанії (приватні перевезення клієнтів),33 000 – 60 000 грн,Одеса,"Повна зайнятість, неповна зайнятість"
Junior Project Manager (PMO),40 000 – 60 000 грн,Дистанційно,Повна зайнятість
SMM-менеджер,20 000 – 30 000 грн,Вінниця,Повна зайнятість
Graphic designer,Ornament Soft Solutions,Дистанційно,Повна зайнятість
Lead Generation Manager,Techstack,Дистанційно,Повна зайнятість
Менеджер з продажу онлайн-курсів для дітей (IT-школа),15 000 – 30 000 грн,Івано-Франківськ,Повна зайнятість
"Motion Designer, Editor",Gurt.agency,Дистанційно,Неповна зайнятість
Рекрутер у Хотів,23 300 грн,Хотів шукаємо у Києві,Неповна зайнятість
Field Applications Engineer,Beetroot,Дистанційно,Повна зайнятість
Бухгалтер-консультант (тестування),"Dilovod, онлайн-бухгалтерія",Дистанційно,"Повна зайнятість, неповна зайнятість"
Product Manager,Boosta Inc,Дистанційно,Повна зайнятість
Інтернет-маркетолог,25 000 – 42 000 грн,Київ,Повна зайнятість
Помічник SMM-спеціаліста,Halo Lab,Дистанційно,Неповна зайнятість
"Менеджер, менеджерка з продажів (Satu.kz)",17 000 – 50 000 грн,Київ,Повна зайнятість
Інженер комп'ютерних систем,ПК-Сервіс,Київ,Повна зайнятість
"HTML-верстальник, MarkUp Developer",15 000 – 25 000 грн,Київ,Повна зайнятість
Сервісний інженер з обслуговування сортувальних ліній,30 000 – 40 000 грн,Київ,Повна зайнятість
Оператор кол-центру,12 000 грн,Хмельницький,Повна зайнятість
Викладач англійської мови,26 000 грн,Дистанційно,Повна зайнятість
"Головний спеціаліст, керівник проєкту (встановлення та обслуговування сонячних електростанцій)",40 000 грн,Одеса,Повна зайнятість
Reels-мейкер,Soft Industry,Дистанційно,Неповна зайнятість
"Бухгалтер, казначей",DiJust,Київ,Повна зайнятість
"Інженер-проєктувальник АСУ ТП, менеджер проєктів",33 000 – 37 000 грн,Дистанційно,Повна зайнятість
PHP Developer,Playtini,Київ,Повна зайнятість
Операційний менеджер,Octarine,Дистанційно,Повна зайнятість
Фінансовий менеджер з управління грошовими потоками,Maestro Ticket System (Kontramarka Україна),Дистанційно,Повна зайнятість
Менеджер по роботі з оптовими продажами,25 000 – 45 000 грн,Дистанційно,Повна зайнятість
Бухгалтер-касир,Tickets Consolidator,Київ,Повна зайнятість
Оператор технічної підтримки сайту,"Кейк Альянс, ТОВ",Дистанційно,Повна зайнятість
Керівник відділу продажу,30 000 – 45 000 грн,Дистанційно,Повна зайнятість
Оператор фрезерувального ЧПК-верстата (металообробка),43 000 грн,Київ,Повна зайнятість
Technical Support Representative,40 000 – 60 000 грн,Дистанційно,Повна зайнятість
Drupal developer (стажер),5 850 грн,Луцьк,Повна зайнятість
"Graphic Designer (B2C, ID 213)",Helsi,Дистанційно,Повна зайнятість
Асистент менеджера з управління проєктами,Інформаційні судові системи,Дистанційно,Повна зайнятість
Financial analyst,EvoPlay,Київ,Повна зайнятість
Менеджер по роботі з клієнтами,18 000 грн,Київ,Повна зайнятість
Бухгалтер-економіст виробничого обліку,18 000 – 20 000 грн,Кривий Ріг,Повна зайнятість
Бухгалтер з податкового обліку,18 000 – 20 000 грн,Кривий Ріг,Повна зайнятість
3D animator,Octo Games,Дистанційно,Повна зайнятість
"HR operations specialist, Administrator",EvoPlay,Київ,Повна зайнятість
Trainee Linux C/C++ Engineer (IRC246043),GlobalLogic Ukraine,Львів,Повна зайнятість
Content manager,SoftSvit,Київ,Повна зайнятість
"PPC-спеціаліст, таргетолог (Google, Meta Ads)",Webspark,Дистанційно,Повна зайнятість
Модератор,15 000 грн,Дистанційно,Повна зайнятість
Оператор клієнтської підтримки,12 000 – 20 000 грн,Кременчук,Повна зайнятість
Бухгалтер (регіон EMEA),Обджект ферст Україна,Дистанційно,Повна зайнятість
PR Manager,Netronic,Київ,Повна зайнятість
Юрисконсульт,Інформаційні судові системи,Київ,Повна зайнятість
Demo engineer,Sales-Up,Київ,Повна зайнятість
Провідний бухгалтер по роботі з нерезидентами,Maestro Ticket System (Kontramarka Україна),Дистанційно,Повна зайнятість
Бухгалтер-консультант,35 000 грн,Тернопіль,Повна зайнятість
Фінансовий директор (Netpeak Core),Netpeak Group,Дистанційно,Повна зайнятість
Junior IT project-менеджер,25 000 – 40 000 грн,Дистанційно,Повна зайнятість
System administrator,80 000 – 100 000 грн,Київ,Повна зайнятість
Монтажник радіоелектронного обладнання на транспортні засоби,"Монітерра, ТОВ",Івано-Франківськ,Неповна зайнятість
Спеціаліст по роботі з клієнтами (Polish),EvoPlay,Дистанційно,Повна зайнятість
Support monitoring manager (Cyprus),EvoPlay,Київ,Повна зайнятість
Technical Artist,Gameloft,Дистанційно,Повна зайнятість
Сервісний інженер з обслуговування сортувальних ліній,30 000 – 40 000 грн,Дніпро,Повна зайнятість
"Project Manager, Coordinator (стажування, GameDev)",RetroStyle Games,Київ,Повна зайнятість
HR manager,Halo Lab,Дистанційно,Повна зайнятість
Senior Recruiter,Cor-Team,Дистанційно,Повна зайнятість
Сервісний інженер з обслуговування сортувальних ліній,30 000 – 40 000 грн,Бориспіль,Повна зайнятість
Recruiter (non-tech),Megogo,Київ,Повна зайнятість
Менеджер з продажу техніки для друку та післядрукарського обладнання,Мегатрейд,Київ,Повна зайнятість
Customer Support Specialist (Spanish),Yellow Stone,Дистанційно,Повна зайнятість
Project manager,Canyon Development,Дніпро,Повна зайнятість
Модератор стрічки новин,Укрнет,Дистанційно,Неповна зайнятість
Комірник-комплектувальник,22 400 – 30 000 грн,Київ,Повна зайнятість
"Системний адміністратор (Linux, Debian, CentOS, FreeBSD)",30 000 – 60 000 грн,Дистанційно,Повна зайнятість
Lead Generation Manager,RetroStyle Games,Дистанційно,Повна зайнятість
"Системний інженер (виртуалізація, сервери, SAN, СЗД)",Amind,Київ,Повна зайнятість
Technical Artist,EvoPlay,Дистанційно,Повна зайнятість
Сервісний інженер з обслуговування сортувальних ліній,15 000 – 25 000 грн,Чернівці,Повна зайнятість
"Junior Fullstack Developer (.Net, C#, JavaScript)",Sales-Up,Київ,Повна зайнятість
Project-менеджер,45 000 грн,Хмельницький,Повна зайнятість
Копірайтер,Flawless.group,Дистанційно,Повна зайнятість
Комірник,ІТ-Інтегратор,Київ,Повна зайнятість
Офіс-менеджер,25 000 – 35 000 грн,Київ,Повна зайнятість
Бармен у фітнес-бар,Опус Авто,Хмельницький,Повна зайнятість
PPC Specialist (Tonti Laguna Prime),Netpeak Group,Дистанційно,Повна зайнятість
"Video editor, Motion designer",AMO,Дистанційно,Повна зайнятість
Фахівець із дебіторської та кредиторської заборгованості (Кіпр),60 000 – 80 000 грн,Дистанційно,Повна зайнятість
Full-stack Developer (C# .NET),20 000 – 50 000 грн,Дистанційно,Повна зайнятість
IOS Developer (Swift),40 000 – 100 000 грн,Дистанційно,"Повна зайнятість, неповна зайнятість"
"Інженер систем ""Розумний будинок""",Dekom Ukraine,Дистанційно,Повна зайнятість
Talent Sourcer,Digitalmethod tech ltd,Львів,Повна зайнятість
Бухгалтер з обліку ТМЦ та основних засобів,30 000 грн,Київ,Повна зайнятість
Middle+ PHP Software Engineer,Innovation Group,Дистанційно,Повна зайнятість
Спеціаліст служби підтримки,Укрнет,Дистанційно,Повна зайнятість
PHP Developer,Опендатабот,Дніпро,Повна зайнятість
Operation manager,EvoPlay,Київ,Повна зайнятість
"Middle, Senior Nodejs, PHP Developer",Innovation Group,Дистанційно,Повна зайнятість
Інженер-проєктувальник вентиляції та кондиціонування,Compass Engineering,Київ,Повна зайнятість
Оператор чата,20 600 – 49 500 грн,Дистанційно,Неповна зайнятість
Outbound Recruiter,Netpeak Group,Дистанційно,Повна зайнятість
Кур'єр на власному автомобілі,MAUDAU,Київ,Повна зайнятість
"Директор з розвитку AI, ML-бізнесу",De Novo,Київ,Повна зайнятість
Вантажник,ІТ-Інтегратор,Київ,Повна зайнятість
Game Designer,FLEXUS,Дистанційно,Повна зайнятість
"Senior HR Projects Manager, Business Partners",Viseven,Дистанційно,Повна зайнятість
SysAdmin (Helpdesk),Playtini,Київ,Повна зайнятість
Збиральник БпЛА,18 000 – 22 000 грн,Дніпро,Повна зайнятість
Таргетолог (Meta ads),"Genesis, ІТ-компанія",Київ,Повна зайнятість
Фахівець з підтримки клієнтів (Ringostat),Ringostat,Дистанційно,Повна зайнятість
Head of Affiliate,ASAP Solution,Дистанційно,Повна зайнятість
"Інженер інформаційно-телекомунікаційних систем, адміністратор системи (фізичне відновлення інформації)","Епос, ТОВ",Київ,Повна зайнятість
Оператор фрезерувального ЧПК-верстата (деревообробка),43 000 грн,Київ,Повна зайнятість
"Комірник, робітник на склад",20 000 грн,Київ,Повна зайнятість
Керівник адміністративно-господарського відділу,Netronic,Київ,Повна зайнятість
Finance Manager for PSP,"Pro Gaming Software, LTD",Дистанційно,Повна зайнятість
Business Development Manager (вендор Salesforce),Софтіко,Дистанційно,Повна зайнятість
Контент-менеджер,15 000 грн,Львів,Неповна зайнятість
Trainee С Embedded Developer (IRC235539),GlobalLogic Ukraine,Львів,Повна зайнятість
Провідний інженер-конструктор електроніки,Techiia Holding,Київ,Повна зайнятість
Фахівець з підтримки користувачів (Kabanchik),20 000 – 22 000 грн,Дистанційно,Повна зайнятість
Game designer,20 000 – 52 000 грн,Дистанційно,Повна зайнятість
"Personal, business assistant",Maestro Ticket System (Kontramarka Україна),Дистанційно,Повна зайнятість
Бухгалтер (ФОП),Alcor,Дистанційно,Повна зайнятість
Менеджер по роботі з партнерами,11 000 – 15 000 грн,Вінниця,Повна зайнятість
"Full Stack PHP, JavaScript Engineer",Silkway.solutions,Дистанційно,Повна зайнятість
"Програміст (PHP, Laravel)",60 000 – 80 000 грн,Дистанційно,"Повна зайнятість, неповна зайнятість"
Support agent,Mojam,Дистанційно,Неповна зайнятість
Слюсар з механоскладальних робіт у Макарів,Infozahyst,Макарів шукаємо у Києві,Повна зайнятість
Unity Game Developer,Gameloft,Дистанційно,Повна зайнятість
Менеджер по роботі з клієнтами,14 000 – 40 000 грн,Одеса,Повна зайнятість
"Junior Customer Support, Billing Manager",Netpeak Group,Дистанційно,Неповна зайнятість
Embedded developer,Canyon Development,Дніпро,Повна зайнятість
"Технічний спеціаліст, монтажник","Українські геоінформаційні системи, ТзОВ",Ужгород,"Повна зайнятість, неповна зайнятість"
QA-інженер,15 000 – 25 000 грн,Дистанційно,Повна зайнятість
3D artist (Characters),12 000 – 35 000 грн,Дистанційно,Повна зайнятість
Спеціаліст з інфраструктурних рішень (Microsoft),50 000 – 82 000 грн,Київ,Повна зайнятість
"Middle Sales Manager (B2B, B2G)",50 000 – 100 000 грн,Київ,Повна зайнятість
Sales-помічник директора IT-компанії (Leadgen),16 000 – 32 000 грн,Дистанційно,"Повна зайнятість, неповна зайнятість"
Game designer,15 000 – 30 000 грн,Дніпро,Повна зайнятість
Sales Director,Rems_Сompany,Дистанційно,Повна зайнятість
"Fullstack JS Web (middle, middle+, senior)",Peaks Circle Sp. z o.o.,Дистанційно,Повна зайнятість
Junior Javascript Developer,35 000 грн,Київ,Повна зайнятість
"Project, Product Manager (декілька проєктів)",30 000 – 82 000 грн,Дистанційно,"Повна зайнятість, неповна зайнятість"
Тестувальник (QA),30 000 – 50 000 грн,Рівне,"Повна зайнятість, неповна зайнятість"
Офіс-менеджер,15 000 грн,Київ,Повна зайнятість
Програміст PHP,"Глянець™, студія вебдизайну",Вінниця,Повна зайнятість
Junior iOS Developer,35 000 грн,Київ,Повна зайнятість
"Молодший Digital-аналітик, стажер",21 000 – 27 000 грн,Київ,Повна зайнятість
Project manager,25 000 – 30 000 грн,Чернівці,Повна зайнятість
"SMM-менеджер, контент-мейкер",24 000 – 40 000 грн,Київ,Повна зайнятість
Спеціаліст з кадрової служби та військового обліку,35 000 – 40 000 грн,Київ,Повна зайнятість
1C Developer for Odoo Migration Projects,Codev,Дистанційно,Повна зайнятість
Trainee/Junior/Middle Angular Developer,Інсайдери,Львів,Повна зайнятість
SMM specialist,15 000 – 30 000 грн,Дистанційно,Неповна зайнятість
Художник-ілюстратор (векторна графіка),20 000 – 25 000 грн,Дистанційно,"Повна зайнятість, неповна зайнятість"
Бухгалтер-консультант,30 000 – 35 000 грн,Рівне,Повна зайнятість
Business developer,"Котсур Р., ФОП",Дистанційно,Повна зайнятість
Lawyer,Romexsoft,Дистанційно,Неповна зайнятість
Контент-менеджер,16 000 – 22 000 грн,Вінниця,Повна зайнятість
"PHP-developer (Laravel, Yii2, Vue.js)",30 000 – 50 000 грн,Дистанційно,Повна зайнятість
OpenCart Developer,25 000 грн,Дистанційно,"Повна зайнятість, неповна зайнятість"
Менеджер з продажів,"Валій, ФОП",Дистанційно,Повна зайнятість
"Key Account Manager (ІТ, B2B)","Юровська О.Г., ФОП",Київ,Повна зайнятість
Менеджер з продажу (IT),16 000 – 20 000 грн,Івано-Франківськ,Повна зайнятість
Customer Support Representative,Синхронік,Київ,Повна зайнятість
Customer Success Manager (English language),Синхронік,Київ,Повна зайнятість
Analyst,Синхронік,Київ,Повна зайнятість
Відеомонтажер,Синхронік,Київ,Повна зайнятість
Project manager,Telenorma AG,Дистанційно,Повна зайнятість
3D-дизайнер (Archviz),Llil design,Дистанційно,Повна зайнятість
"Middle Full Stack CMS (PHP, JS) Developer",62 000 – 82 000 грн,Дистанційно,Повна зайнятість
"Клієнт-менеджер зі знанням (польської, чеської)",35 000 – 80 000 грн,Львів,Повна зайнятість
HTML-верстальщик,Webcapitan,Вінниця,Повна зайнятість
"Спеціаліст з зовнішніх комунікацій, аналітик",10 000 грн,Дистанційно,Повна зайнятість
Customer Support Representative,25 000 – 50 000 грн,Дистанційно,Повна зайнятість
Support manager,Raise.Band,Дистанційно,Повна зайнятість
"Content creator, SMM manager",GotYourBack Support,Дистанційно,"Повна зайнятість, неповна зайнятість"
"Sales, lead generation manager",20 000 – 50 000 грн,Дистанційно,Повна зайнятість
QA Manual Backend,Дія,Київ,Повна зайнятість
Оператор ПК,23 000 – 25 000 грн,Київ,Повна зайнятість
HR Generalist,Clarity,Дистанційно,Повна зайнятість
Менеджер з продажу,20 000 – 30 000 грн,Миколаїв,Повна зайнятість
Менеджер з продажу,20 000 – 30 000 грн,Луцьк,Повна зайнятість
Провідний економіст з бюджетування,"ГІОЦ, КП (Головний інформаційно-обчислювальний центр Києва)",Київ,Повна зайнятість
Продавець-консультант техніки Apple,25 000 – 27 000 грн,Київ,Повна зайнятість
Помічник рекрутера,30 000 грн,Київ,Повна зайнятість
"Backend developer (Python, PHP)",Zviger LLC,Дистанційно,Повна зайнятість
Програміст 1C,Zviger LLC,Дистанційно,Повна зайнятість
PR-спеціаліст (SMM),23 000 – 35 000 грн,Дистанційно,"Повна зайнятість, неповна зайнятість"
"Менеджер по роботі з TikTok, Instagram-акаунтами",4 000 – 6 000 грн,Дистанційно,Повна зайнятість
Junior Python Developer,17 000 – 25 000 грн,Дистанційно,Повна зайнятість
Bookkeeper,29 000 грн,Дистанційно,Повна зайнятість
SEO Linkbuilder,BillTech,Дистанційно,Повна зайнятість
Спеціаліст служби технічної підтримки клієнтів,15 000 грн,Дистанційно,Повна зайнятість
Promo Designer (iGaming),Frozeneon,Дистанційно,Повна зайнятість
Retention Manager (Junior),Frozeneon,Дистанційно,Повна зайнятість
Менеджер по роботі з клієнтами,17 000 – 25 000 грн,Дистанційно,Повна зайнятість
Менеджер по роботі з клієнтами та з продажу,10 000 – 15 000 грн,Дистанційно,"Повна зайнятість, неповна зайнятість"
"IT Project Manager, Business Analyst",Perspective,Київ,Повна зайнятість
Junior DevOps engineer,Perspective,Ужгород,Повна зайнятість
Front-End Developer,Perspective,Ужгород,Повна зайнятість
Senior UX/UI Designer,Deeb-Pro (Design Team),Дистанційно,"Повна зайнятість, неповна зайнятість"
Інженер сервісний (власне авто),25 000 грн,Київ,Повна зайнятість
"Middle, Senior HTML5 Game Developer",Volmi — A Virtuos Studio,Дистанційно,Повна зайнятість
"Rust Developer (remote, internship)",41 000 грн,Дистанційно,Повна зайнятість
Front-end програміст,30 000 – 80 000 грн,Київ,Повна зайнятість
"Менеджер із залучення клієнтів, лідогенератор (з навчанням)",41 000 грн,Дистанційно,Повна зайнятість
Business Analyst Middle,MK Consulting,Київ,Повна зайнятість
Системний адміністратор (стажер),18 000 – 25 000 грн,Київ,Повна зайнятість
Golang/Python Developer,Insoft Ukraine,Дистанційно,Повна зайнятість
Middle DevOps Engineer,Datami,Дистанційно,Повна зайнятість
Full Stack WordPress Developer,65 000 – 80 000 грн,Дистанційно,Повна зайнятість
Бізнес-системний аналітик,Дія,Київ,Повна зайнятість
Account manager,35 000 грн,Миколаїв,Повна зайнятість
"SEO, фахівець з Google-аналітики",Iwis,Дистанційно,Неповна зайнятість
Інженер радіозв'язку,35 000 грн,Київ,Повна зайнятість
IT-інженер,35 000 грн,Київ,Повна зайнятість
Комплектувальник,22 000 грн,Київ,"Повна зайнятість, неповна зайнятість"
Sales Development Representative,"Актуальна Механіка, ІК",Дистанційно,Повна зайнятість
Machine Learning інженер (розгортання LLM),"Актуальна Механіка, ІК",Дистанційно,Повна зайнятість
Sales manager,WTT Solutions,Дистанційно,Повна зайнятість
Business Development Manager,35 000 – 45 000 грн,Дистанційно,Повна зайнятість
Програміст WordPress,20 000 – 25 000 грн,Дистанційно,"Повна зайнятість, неповна зайнятість"
UX/UI-дизайнер (Middle),Cadabra Studio,Дистанційно,Неповна зайнятість
SMM-дизайнер,Дія,Київ,Повна зайнятість
Менеджер з продажу обладнання та послуг для GPS-моніторингу,25 000 – 50 000 грн,Одеса,Повна зайнятість
"Support, Direct manager (нічна зміна)",25 000 – 50 000 грн,Львів,"Повна зайнятість, неповна зайнятість"
Support manager,30 000 – 40 000 грн,Дистанційно,Повна зайнятість
Customer support specialist,25 000 – 34 000 грн,Дистанційно,Повна зайнятість
Affiliate Manager (Junior),Frozeneon,Дистанційно,Повна зайнятість
Менеджер продукту,MagneticOne Municipal Technologies,Тернопіль,Повна зайнятість
Angular Fullstack developer (Intern),ITeam,Київ,Повна зайнятість
Адміністратор (Back Office),30 000 – 35 000 грн,Київ,Повна зайнятість
Marketing assistant,40 000 грн,Дистанційно,"Повна зайнятість, неповна зайнятість"
Менеджер з внутрішніх продажів,30 000 грн,Дистанційно,Повна зайнятість
Системний аналітик,"Відкриті Публічні Фінанси, ДУ",Київ,Повна зайнятість
Проектний фахівець,20 000 – 25 000 грн,Київ,"Повна зайнятість, неповна зайнятість"
Customer Support Representative,"Вісервісес, ТОВ",Київ,Повна зайнятість
Upwork Lead generation manager,30 000 – 40 000 грн,Дистанційно,"Повна зайнятість, неповна зайнятість"
Маркетолог,Caseware Ukraine,Київ,Повна зайнятість
"3D-аніматор, 3D Artist",15 000 – 30 000 грн,Дніпро,Повна зайнятість
Спеціаліст Photoshop,27 000 – 32 000 грн,Київ,Повна зайнятість
UI/UX Designer,20 000 – 60 000 грн,Кропивницький,Неповна зайнятість
Part-time Middle React Native Developer,24 000 – 40 000 грн,Кропивницький,Неповна зайнятість
Sales manager (IT),40 000 – 80 000 грн,Кропивницький,Повна зайнятість
Спеціаліст технічної підтримки (support),25 000 грн,Київ,Повна зайнятість
Кур'єр (піший),12 000 грн,Київ,Повна зайнятість
Junior SEO specialist,10 000 – 20 000 грн,Дистанційно,Повна зайнятість
"Спеціаліст з налаштування CRM-систем, інтегратор",DoItWell,Дистанційно,Повна зайнятість
Історик у онлайн-стартап,5 000 – 10 000 грн,Дистанційно,Неповна зайнятість
Помічник керівника,15 000 – 30 000 грн,Дистанційно,Повна зайнятість
Розробник PHP (Laravel),"АктивЛекс, ТОВ",Київ,Повна зайнятість
Accountant,Fuelfinance,Дистанційно,Повна зайнятість
Аніматор (After effects),25 000 – 60 000 грн,Луцьк,Повна зайнятість
2D-ілюстратор,21 000 – 60 000 грн,Луцьк,Повна зайнятість
"Акаунт-менеджер (зі знанням англійської, німецької, португальської)",40 000 – 70 000 грн,Дистанційно,Повна зайнятість
"Системний адміністратор, IT-спеціаліст",30 000 – 40 000 грн,Київ,Повна зайнятість
"Strong Junior, Middle Ruby developer",Rubi Lviv Team (RLT),Львів,"Повна зайнятість, неповна зайнятість"
Адміністратор кіберспортивного клубу,12 000 – 15 000 грн,Чернігів,Повна зайнятість
Junior Data Entry Specialist (стажер),8 000 грн,Дистанційно,"Повна зайнятість, неповна зайнятість"
"Front-end програміст (Vue. js, Nuxt. js)",40 000 – 120 000 грн,Дистанційно,"Повна зайнятість, неповна зайнятість"
"Middle, Senior C# Developer (WinUI, WPF)",40 000 – 120 000 грн,Дистанційно,"Повна зайнятість, неповна зайнятість"
"Unreal Engine Level Designer, Technical Artist",45 000 – 75 000 грн,Дистанційно,Повна зайнятість
Контент-менеджер,15 000 – 30 000 грн,Дніпро,Повна зайнятість
Full stack WP Plugin developer,65 000 – 85 000 грн,Дистанційно,Повна зайнятість
Спеціаліст клієнтської підтримки,20 700 – 25 000 грн,Дистанційно,Повна зайнятість
"VB.NET, C# Developer",50 000 – 60 000 грн,Дистанційно,Повна зайнятість
Junior developer (React or Java Spring),"15А, гостевой дом",Дистанційно,"Повна зайнятість, неповна зайнятість"
SMM-менеджер,Wizyheal,Дистанційно,"Повна зайнятість, неповна зайнятість"
Python Machine Learning Engineer,30 000 – 50 000 грн,Дистанційно,Повна зайнятість
Manual QA Engineer,10 000 – 20 000 грн,Дистанційно,Повна зайнятість
Junior C++ Developer,29 000 грн,Київ,Повна зайнятість
Tilda-верстальник,28 000 грн,Київ,Повна зайнятість
Junior Motion Designer,32 000 грн,Київ,Повна зайнятість
IT-спеціаліст технічної підтримки,25 000 – 30 000 грн,Київ,Повна зайнятість
Social Media Support Specialist (English),Murka,Дніпро,Повна зайнятість
Website Designer,20 000 – 50 000 грн,Дистанційно,Повна зайнятість
Front-end developer,"RGB, вебстудія",Дистанційно,Неповна зайнятість
Graphic Designer,"RGB, вебстудія",Дистанційно,Неповна зайнятість
"3D Artist, modeller",25 500 – 34 000 грн,Дистанційно,Повна зайнятість
Кухар,25 000 – 60 000 грн,Київ,Повна зайнятість
"Product Manager, впроваджувач CRM-рішень",Kava.land,Київ,Повна зайнятість
Інженер технічної підтримки,18 500 – 20 500 грн,Чернігів,Повна зайнятість
Marketing Specialist,Unitedcode,Дистанційно,Повна зайнятість
Графічний дизайнер,Дія,Київ,Повна зайнятість
Back office specialist (архітектура),29 000 грн,Дистанційно,Повна зайнятість
Customer Support Specialist,24 000 – 33 000 грн,Дистанційно,Повна зайнятість
PHP Developer (Symfony),Iwis,Дистанційно,Неповна зайнятість
Менеджер по роботі з клієнтами,Techexpert,Київ,Повна зайнятість
