Title,Salary,Location,Employment Type
"Спеціаліст з кібербезпеки, оператор SIEM","R&B Team, LLC",Київ,Повна зайнятість
Фахівець з розвитку бізнесу (готельний напрямок),Tickets Consolidator,Київ,Повна зайнятість
Менеджер з підтримки клієнтів,15 000 – 20 000 грн,Львів,"Повна зайнятість, неповна зайнятість"
IT Talent Sourcer,Soft Industry,Дистанційно,Повна зайнятість
Junior Java Developer,Nix,Полтава,Повна зайнятість
Регіональний менеджер (ID 189),Helsi,Дніпро,Повна зайнятість
Intern Front-end Developer,HYS Enterprise,Одеса,Повна зайнятість
Менеджер відділу з обслуговування клієнтів,26 000 – 28 000 грн,Дистанційно,Повна зайнятість
Фахівець з аудиту,EvoPlay,Дистанційно,Повна зайнятість
Email Marketing Specialist,Megogo,Київ,Повна зайнятість
Програміст BAF/1С,30 000 – 90 000 грн,Дистанційно,Повна зайнятість
Бухгалтер,20 000 – 40 000 грн,Дистанційно,Повна зайнятість
Підсобний робітник на підприємство,16 000 грн,Київ,Повна зайнятість
"Back-end розробник (PHP, Laravel)",Shafem,Дистанційно,Неповна зайнятість
QA Engineer,PNN Soft,Дистанційно,"Повна зайнятість, неповна зайнятість"
Проєктний менеджер,"Коди Україна, ТОВ",Київ,Повна зайнятість
Unity 3D Developer,FLEXUS,Дистанційно,Повна зайнятість
Спеціаліст з фінансової роботи,50 000 – 60 000 грн,Київ,Повна зайнятість
"Контент-менеджер, SEO, копірайтер",25 000 грн,Дистанційно,Повна зайнятість
Backend Magento developer,SaM Solutions,Дистанційно,Повна зайнятість
Frontend Magento Developer,SaM Solutions,Дистанційно,Повна зайнятість
WordPress Developer,20 000 – 52 000 грн,Дистанційно,Повна зайнятість
"Оператор з обробки фото, відеоматеріалів",6 600 – 13 500 грн,Дистанційно,Повна зайнятість
Technical Support Specialist (Junior),Diya,Житомир,Повна зайнятість
Програміст PHP,40 000 – 60 000 грн,Дніпро,Повна зайнятість
"Middle QA Manual, тестувальник",WTT Solutions,Дистанційно,Повна зайнятість
Різноробочий на виробництво у Хотів,27 290 грн,Хотів шукаємо у Києві,Повна зайнятість
Інженер СКД,EvoPlay,Київ,Повна зайнятість
System Administrator,Bakotech,Київ,Повна зайнятість
Регіональний менеджер (217),Helsi,Харків,Повна зайнятість
Менеджер з продажу,20 000 – 40 000 грн,Старокостянтинів,Повна зайнятість
"Оператор ПК, менеджер з листування з бізнес-клієнтами (послуги для бізнесу)",12 000 – 30 000 грн,Дистанційно,Повна зайнятість
Менеджер по роботі з VIP-клієнтами,SmartTender,Дистанційно,Повна зайнятість
Менеджер по роботі з клієнтами,30 000 – 40 000 грн,Київ,Повна зайнятість
Менеджер по холодным звонкам,10 000 – 30 000 грн,Дистанційно,Повна зайнятість
Affiliate manager,Yellow Stone,Київ,Повна зайнятість
"Офіс-менеджер, адміністратор",15 000 грн,Одеса,Неповна зайнятість
Product Manager,Together Networks,Дистанційно,Повна зайнятість
Junior Lead Generation Specialist,21 000 – 30 000 грн,Дистанційно,Повна зайнятість
Sales Executive (English),Jooble,Дистанційно,Повна зайнятість
Manual QA Engineer,Finik.Pro,Дистанційно,Повна зайнятість
PHP back-end розробник (Laravel),Lestro,Київ,Повна зайнятість
Marketing Manager,LIGA ZAKON,Дистанційно,Повна зайнятість
SMM manager,Models Ukraine,Дистанційно,Повна зайнятість
Художник комп'ютерної графіки,20 000 – 21 000 грн,Дистанційно,Повна зайнятість
Data analyst,bill_line,Київ,Повна зайнятість
Junior DevOps engineer (Switcher),33 000 – 57 000 грн,Київ,Повна зайнятість
Головний інженер проєкту,Compass Engineering,Київ,Повна зайнятість
Помічник ASO-спеціаліста,20 000 – 21 000 грн,Сміла,Повна зайнятість
Customer Care Agent (English and German),Gameloft,Дистанційно,Повна зайнятість
SEO Manager,Designers,Дистанційно,Повна зайнятість
Web-дизайнер (Wix),12 000 – 16 000 грн,Дистанційно,Повна зайнятість
